;P234_01_N_Scr_1.CEL;P234_02_N_Inh_3.CEL;P234_03_6F4_Scr_1.CEL;P234_04_6F4_Scr_3.CEL;P234_05_6F4_Inh_2.CEL;P234_06_6F4_Inh_3.CEL
AFFX-BioB-3_at;8,41387527703407;8,39001508102782;10,1071919391273;11,4281185177564;10,7201936360096;11,0237078566448
AFFX-BioB-5_at;8,30298706011961;8,18570972247807;9,75600864914403;11,1264453906968;10,3886961142976;10,6521312944395
AFFX-BioB-M_at;8,58073552974975;8,58177454556787;10,1743933549279;11,4715395836189;10,9208470306979;11,0799550818832
AFFX-BioC-3_at;9,37315849470558;9,37637806971682;10,9483415817854;11,8314429647416;11,5088346718674;11,5666354440876
AFFX-BioC-5_at;9,66890327036624;9,59409548854196;11,1445495588774;12,0688497759066;11,7575212312072;11,6656256330946
AFFX-BioDn-3_at;11,1686569927496;11,1893310177977;12,6742723616593;13,3989319342754;13,0606729440748;13,061097729348
AFFX-BioDn-5_at;10,4963530897672;10,401501418072;11,9290349900363;12,6627422918876;12,4159219403608;12,2331080309261
AFFX-BkGr-GC03_st;1,90006855559055;1,85567124001521;1,76965007243712;2,08405248581913;2,07964938172787;1,97617646819775
AFFX-BkGr-GC04_st;1,61235496565992;1,55229576944763;1,55842338583975;2,07846519630031;1,76743548501373;1,83857933714552
AFFX-BkGr-GC05_st;1,69171991409314;1,65192802363917;1,64648503741482;2,13269056482024;1,81016235866023;1,94068918823531
AFFX-BkGr-GC06_st;1,67708555817252;1,63286973103022;1,65793815428392;2,18203279879534;1,8461791111473;1,96286894349159
AFFX-BkGr-GC07_st;1,73858383240165;1,7300114465677;1,70328077030793;2,2111031944955;1,84225309888867;1,96702867671926
AFFX-BkGr-GC08_st;1,77343781250591;1,69650172589252;1,7604758718594;2,34773050165797;1,91848038110258;2,03277844076158
AFFX-BkGr-GC09_st;1,90606188350481;1,83721648013209;1,92764259625523;2,52074437926543;2,04240338689099;2,26099971151032
AFFX-BkGr-GC10_st;2,06908833072049;2,01733757417957;2,23400903467515;3,1038534360673;2,45390804014526;2,83105670240494
AFFX-BkGr-GC11_st;2,26122445748725;2,21455628557559;2,50285580174133;3,55608131794395;2,7148057921749;3,17407758328514
AFFX-BkGr-GC12_st;2,62578701835674;2,62202231757584;3,02156005802741;4,31139815482087;3,403043373994;4,12783656333081
AFFX-BkGr-GC13_st;3,09596097139534;3,13693644373384;3,72264280718915;5,22372010044402;3,94046331723463;4,91223319650015
AFFX-BkGr-GC14_st;3,67517358289042;3,67927354599742;4,61669845010453;6,08907603493235;4,93026744613669;5,92194718215518
AFFX-BkGr-GC15_st;4,25181976838376;4,23696970032639;5,22752912783928;6,7446377867055;5,57360893417311;6,5672906248579
AFFX-BkGr-GC16_st;4,93458981755322;4,98102411879262;5,97455850374355;7,41991546385248;6,37988401772958;7,2855970982664
AFFX-BkGr-GC17_st;5,37236911181368;5,46258777860954;6,43689470764443;7,83905127434982;6,79775484978953;7,68749732919549
AFFX-BkGr-GC18_st;5,91143006022135;5,96706343256981;6,95226579852126;8,32137846385227;7,36244921817023;8,21673865758739
AFFX-BkGr-GC19_st;6,39879430652028;6,49215905855389;7,45069667853011;8,73218560462571;7,82742204731814;8,62297273378559
AFFX-BkGr-GC20_st;6,62974126701872;6,74385075849474;7,6181535181726;8,78422409927846;7,95271827695231;8,71342689024688
AFFX-BkGr-GC21_st;6,87370537420627;6,97008851979721;7,82605211743417;8,87527628002467;8,11402171034176;8,8139074453548
AFFX-BkGr-GC22_st;7,41986912473867;7,54567902248818;8,26607501055279;9,13702833024751;8,54081781420916;9,1270124950264
AFFX-BkGr-GC23_st;7,4329596784536;7,55745733573708;8,23327885265988;9,04877980446659;8,47825738446908;9,09806695103234
AFFX-BkGr-GC24_st;7,19960679063252;7,3154576589335;7,93634939553103;8,75601063130931;8,15939176436501;8,79562305525131
AFFX-BkGr-GC25_st;6,47970187780646;7,03884988139749;7,47558348231148;8,67044982054158;7,75227652106742;8,93240941271643
AFFX-CreX-3_at;12,6317505520311;12,6358564595728;13,6803450838375;13,8802526203952;13,729062193021;13,843922222735
AFFX-CreX-5_at;12,4696853726468;12,5200379862985;13,5541452020683;13,7388671230885;13,6560386033399;13,6983956831723
AFFX-DapX-3_st;5,59811705227469;5,62924864565955;4,62687583872023;5,53548840801725;4,62055452263444;4,60302271865113
AFFX-DapX-5_st;4,68051221576098;4,75631495541134;4,05285149222663;4,09505965268797;3,79453273599355;4,1000303458617
AFFX-DapX-M_st;5,46877460796034;5,55880671488277;4,13028011030798;5,1196283035061;4,47409615769021;5,0206160308682
AFFX-LysX-3_st;11,4205094098822;11,4781939156266;10,270789546853;7,92694721507864;8,392940520292;7,31288071825348
AFFX-LysX-5_st;10,3752171289416;10,3822290231212;7,4216434759386;5,10022001654132;5,74358228826867;3,71251015082081
AFFX-LysX-M_st;10,9454294554155;10,9036501923668;8,39768296593352;5,6182200325639;6,91355560681995;5,78702438905456
AFFX-PheX-3_st;7,30792443750172;7,34045276122252;6,15587253389188;5,38164120370417;5,16756127280113;6,21191789206599
AFFX-PheX-5_st;7,1168662535556;6,99577277944305;4,25921392623345;4,83176546283887;3,42561649502536;4,62518981537627
AFFX-PheX-M_st;6,98262341264112;7,03979035374362;4,51130466564584;4,59780369672575;4,18674396983774;5,0480696391691
AFFX-ThrX-3_st;5,71505015580459;5,70842713019638;6,35474108279009;7,50663693588433;6,65703807695813;6,88577373832113
AFFX-ThrX-5_st;3,86761043600703;3,47792680725318;4,14024420871393;5,10780791939047;3,9833048773154;4,11915259641851
AFFX-ThrX-M_st;3,76211083485105;3,69704313660428;3,85395636910433;4,4351066295677;3,93807698629335;4,28129027267175
AFFX-TrpnX-3_st;2,45540837936248;2,05191551730381;2,43469751909997;3,36254310385973;2,28862052305073;3,02645833884164
AFFX-TrpnX-5_st;4,3411701464902;4,03554640501197;4,298862624429;5,36433084956949;4,40578461958535;4,96794884749403
AFFX-TrpnX-M_st;4,17023533983944;3,98011279562219;4,86248661887628;5,95818755525526;4,47020565123181;4,87346346054437
AFFX-r2-Bs-dap-3_st;4,04226423483158;4,47865787311949;3,38512141174265;4,83701560699671;2,99667864129923;3,79143001346436
AFFX-r2-Bs-dap-5_st;5,6537810176371;5,71126472265559;4,85736533317422;5,49877292411069;4,80553643215812;5,21871772499373
AFFX-r2-Bs-dap-M_st;4,46237650948444;4,79440256340986;3,57998888798449;4,66219899071286;4,14154929549502;4,24819882375848
AFFX-r2-Bs-lys-3_st;11,4874208475837;11,5618220698523;10,0905374502192;7,3558108632007;8,480594647844;7,1287476855209
AFFX-r2-Bs-lys-5_st;10,0231117151488;10,0561797945409;6,82558308105861;5,15253855756415;5,46468347020478;5,43368607782189
AFFX-r2-Bs-lys-M_st;11,5183205823387;11,5785214905396;9,17034343924993;7,37343628859807;7,64706700746658;6,0581102323206
AFFX-r2-Bs-phe-3_st;7,76135285600856;7,6488657847748;5,5037002703513;4,55249164457711;4,48077225324392;4,53398487588196
AFFX-r2-Bs-phe-5_st;7,02154374122834;7,06490900155407;3,59288024212227;5,84953451558118;4,25377771872568;4,85944301026774
AFFX-r2-Bs-phe-M_st;6,65954468321529;6,89856276934481;4,08737365642366;4,67248447679801;3,48877135469407;4,4542339875239
AFFX-r2-Bs-thr-3_s_st;4,69578038899339;4,39896606296261;4,72472608696429;6,31939619115525;5,07394430229322;5,32256217985025
AFFX-r2-Bs-thr-5_s_st;3,83720121404649;2,8605165507802;4,42082432861771;5,47756392719184;3,94042197139464;5,25530071171056
AFFX-r2-Bs-thr-M_s_st;3,72104874469931;4,49365198080798;4,36011302117928;5,28699489939896;5,31581938438427;5,85308921933428
AFFX-r2-Ec-bioB-3_at;8,3863356610901;8,39318351414717;10,0531215759317;11,2799625719975;10,7969337151145;10,7864339839415
AFFX-r2-Ec-bioB-5_at;8,79485325390336;8,69368231665343;10,2549789406429;11,5875090150799;10,9643151799099;10,9953640706614
AFFX-r2-Ec-bioB-M_at;8,78965230716613;8,77479854578651;10,3670323076459;11,5629553734718;11,0189733250963;11,2174138978351
AFFX-r2-Ec-bioC-3_at;10,1622273238049;10,1087587788007;11,6186880222343;12,4278310478107;12,1986608352861;12,0037373598559
AFFX-r2-Ec-bioC-5_at;10,0283385083976;10,0018648470611;11,612156386237;12,4343415796318;12,1955153805297;11,9862158070691
