mirnaid;refseqid;genesymbol;start;end;bindingp;energy;seed;accessibility;au;phylopstem;phylopflank;me;number_of_pairings;binding_region_length;longest_consecutive_pairings;position;validated;TargetScan;miRDB
mmu-miR-132-3p;XM_017320450;Morn1;507;534;0.923076923077;-20.4;1;0.0002111511;0.515;0.0;0.0;-17.012.402.953.046.700;14;17;8;CDS;;0;0
mmu-miR-132-3p;XM_017320450;Morn1;171;190;1.0;-19.3;1;0.000857213;0.485;0.0;0.0;-14.062.084.254.213.600;16;19;13;CDS;;0;0
mmu-miR-132-3p;NM_001081100;Morn1;1468;1491;0.923076923077;-21.4;1;4,88E+01;0.5;-0.499184894090909;-0.45123863050000007;-136.655.996.434.504;17;23;7;3UTR;;0;0
mmu-miR-132-3p;NM_001081100;Morn1;450;466;0.846153846154;-20.7;1;0.0002111511;0.515;-0.1085565;12.509.503.400.000.000;-17.012.402.953.046.700;14;16;8;CDS;;0;0
mmu-miR-132-3p;NM_001081100;Morn1;103;122;0.923076923077;-19.3;1;0.000857213;0.485;19.894.952.599.999.900;0.80503495325;-14.062.084.254.213.600;16;19;13;CDS;;0;0
mmu-miR-132-3p;NM_011385;Ski;2433;2455;0.923076923077;-22.2;1;1,62E+00;0.5;-0.5615355433333334;0.21901712799999992;-8.058.226.728.550.050;18;22;7;3UTR;;0;0
mmu-miR-132-3p;NM_011385;Ski;3037;3058;0.923076923077;-21.8;1;1,01E+01;0.456;0.043861124285714294;0.6712455525000001;-7.757.046.662.006.910;18;21;10;3UTR;;0;0
mmu-miR-132-3p;NM_011385;Ski;3672;3698;0.871794871795;-22.0;1;0.006532727;0.412;4.112.416;3.314.682.341.937.500;-7.757.046.662.006.910;17;26;9;3UTR;;0;0
mmu-miR-132-3p;NM_008860;Prkcz;3076;3108;0.846153846154;-23.2;1;0.0002034069;0.397;0.0;0.0;-136.655.996.434.504;17;32;11;3UTR;;0;0
mmu-miR-132-3p;NM_008860;Prkcz;1985;2011;1.0;-22.0;1;0.002523696;0.441;0.0;0.0;-136.655.996.434.504;16;26;9;CDS;;0;0
mmu-miR-132-3p;NM_008860;Prkcz;1828;1845;0.923076923077;-20.6;1;0.002197738;0.441;0.0;0.0;-19.837.177.428.457.100;15;17;10;CDS;;0;0
mmu-miR-132-3p;NM_001039079;Prkcz;2876;2908;0.846153846154;-23.2;1;0.0002034069;0.397;0.0;0.0;-136.655.996.434.504;17;32;11;3UTR;;0;0
mmu-miR-132-3p;NM_001039079;Prkcz;1785;1811;1.0;-22.0;1;0.002523696;0.441;0.0;0.0;-136.655.996.434.504;16;26;9;CDS;;0;0
mmu-miR-132-3p;NM_001039079;Prkcz;1628;1645;0.923076923077;-20.6;1;0.002197738;0.441;0.0;0.0;-19.837.177.428.457.100;15;17;10;CDS;;0;0
mmu-miR-132-3p;NM_008072;Gabrd;712;735;0.846153846154;-22.5;1;1,77E+00;0.441;0.0;0.0;-7.757.046.662.006.910;17;23;6;CDS;;0;0
mmu-miR-132-3p;NM_008142;Gnb1;1357;1371;1.0;-20.1;1;0.0001393551;0.456;0.0;0.0;-14.985.014.105.259.300;13;14;13;3UTR;;1;1
mmu-miR-132-3p;NM_001160016;Gnb1;1354;1368;1.0;-20.1;1;0.0001411665;0.485;0.0;0.0;-14.985.014.105.259.300;13;14;13;3UTR;;1;1
mmu-miR-132-3p;NM_001160017;Gnb1;1305;1319;1.0;-20.1;1;0.0001411665;0.485;0.0;0.0;-14.985.014.105.259.300;13;14;13;3UTR;;1;1
